#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
Aladdin (Europe) (AGA);Aladdin;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Alien Breed 3D (Europe) (AGA);Alien Breed 3D;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
All New World of Lemmings (Europe) (AGA);All New World of Lemmings;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Banshee (Europe) (En,Fr,De,Da) (AGA);Banshee;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Body Blows (Europe) (AGA);Body Blows;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Body Blows Galactic (Europe) (AGA);Body Blows Galactic;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Breathless (Europe) (AGA);Breathless;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Brian the Lion (Europe) (En,Fr,De,It) (AGA);Brian the Lion;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Brutal Football - Deluxe Edition (Europe) (AGA);Brutal Football - Deluxe Edition;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Bubble and Squeak (Europe) (AGA);Bubble and Squeak;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Burning Rubber (Europe) (AGA);Burning Rubber;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Burntime (Europe) (AGA);Burntime;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Capital Punishment (Europe) (En,De) (AGA);Capital Punishment;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Chaos Engine 2, The (Europe) (AGA);Chaos Engine 2, The;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Chaos Engine, The (Europe) (AGA);Chaos Engine, The;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Civilization (Europe) (v855e.01) (AGA);Civilization;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Clockwiser (Europe) (AGA);Clockwiser;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Coala (Europe) (ECS, AGA);Coala;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
D-Generation (Europe) (AGA);D-Generation;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Dangerous Streets (Europe) (AGA);Dangerous Streets;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Dennis (Europe) (AGA);Dennis;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Diggers (Europe) (En,Fr,De,It) (AGA);Diggers;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Donk! - The Samurai Duck! (Europe) (OCS, AGA);Donk! - The Samurai Duck!;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
DreamWeb (Europe) (AGA);DreamWeb;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Exile (Europe) (En,Fr,De) (AGA);Exile;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Fatman - The Caped Consumer (Europe) (AGA);Fatman - The Caped Consumer;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Fears (Europe) (AGA);Fears;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Football Glory (Europe) (AGA);Football Glory;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Gloom (Europe) (AGA);Gloom;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Guardian (Europe) (AGA);Guardian;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Gunship 2000 (Europe) (AGA);Gunship 2000;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Heimdall 2 (Europe) (En,Fr,De,It) (AGA);Heimdall 2;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
High Seas Trader (Europe) (AGA);High Seas Trader;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Humans III - Evolution - Lost in Time (Europe) (AGA);Humans III - Evolution - Lost in Time;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
Impossible Mission 2025 - The Special Edition (Europe) (En,Fr,De,Es,It) (AGA);Impossible Mission 2025 - The Special Edition;amiga1200;;;;;1;0;joy1way;good;1;;;;;;0;;0;0;1
